                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7278,                 2.1053,                 1.9859,                0.44858,                0.37696,                0.37779,                0.14596,                 2.0298,                 4.0914,                 2.2957,               0.067355,             0.00032975,             0.00032975
                      2,                 1.6542,                 1.9126,                 1.9359,                0.55706,                 0.5136,                0.52444,                 0.2312,                 1.8805,                 1.8748,                 2.1125,               0.034342,             0.00064995,             0.00064995
                      3,                 1.6477,                 1.8478,                  1.942,                0.41895,                0.57068,                0.45275,                0.19382,                 1.8533,                 2.0122,                 1.9692,              0.0013154,             0.00095696,             0.00095696
                      4,                 1.6183,                 1.8208,                 1.9324,                0.42228,                0.62304,                 0.4809,                0.22328,                 1.7959,                 1.8593,                 2.0358,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.6321,                 1.8849,                 1.9347,                 0.5197,                0.60733,                  0.571,                0.27175,                 1.7776,                 2.0033,                 1.9958,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.6084,                  1.742,                 1.9018,                0.57869,                0.54974,                0.57452,                0.26727,                 1.8115,                 1.6225,                 2.0712,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.5987,                 1.7649,                 1.9102,                0.51412,                0.56506,                0.56017,                0.28524,                 1.8146,                 1.7155,                 2.0042,               0.000901,               0.000901,               0.000901
                      8,                 1.5475,                 1.7154,                 1.8709,                0.57621,                 0.6911,                0.63928,                0.32477,                 1.6974,                 1.4469,                 1.9279,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.5669,                 1.6888,                 1.8596,                0.60354,                0.53403,                0.57724,                0.25077,                 1.9636,                  1.661,                 2.0928,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.5306,                 1.6819,                  1.856,                0.56452,                0.70157,                0.64566,                0.31104,                 1.7966,                 1.4185,                 1.9699,              0.0008416,              0.0008416,              0.0008416
