                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.5271,                 1.6665,                 1.8464,                0.52434,                0.68063,                0.62243,                 0.2997,                  1.791,                 1.4589,                 2.0292,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.5024,                 1.6065,                 1.8409,                0.54188,                0.59686,                0.55273,                0.25667,                 1.8313,                  1.516,                 1.9875,               0.000802,               0.000802,               0.000802
                     13,                 1.4813,                 1.5751,                 1.7875,                0.59057,                0.64947,                0.63414,                0.30452,                 1.8057,                 1.4861,                 1.9841,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.4585,                 1.5458,                 1.8038,                0.57823,                0.60295,                0.62111,                0.31282,                  1.734,                  1.407,                 1.8964,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.4805,                  1.558,                 1.7906,                0.60791,                0.58639,                0.58888,                0.31842,                 1.5645,                  1.569,                 1.7985,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.4394,                  1.507,                 1.7789,                0.64344,                0.65445,                0.65024,                 0.3129,                 1.7774,                 1.3791,                 1.9388,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.4769,                  1.534,                 1.7982,                 0.6652,                0.57213,                 0.6464,                0.36063,                 1.5317,                 1.3515,                 1.8184,               0.000703,               0.000703,               0.000703
                     18,                 1.4602,                 1.5232,                 1.7888,                0.66754,                0.60972,                0.68934,                0.40167,                  1.445,                 1.2833,                 1.7437,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.4408,                 1.4697,                 1.7744,                0.62377,                 0.6911,                0.69384,                0.35865,                   1.73,                  1.284,                 1.9495,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.4358,                 1.4364,                 1.7618,                0.59056,                0.68063,                0.68965,                0.40124,                 1.5026,                 1.2431,                 1.7899,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.4038,                 1.4255,                 1.7238,                0.63246,                0.62827,                0.66594,                0.39104,                 1.5032,                 1.2562,                 1.7316,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.4076,                 1.4183,                 1.7372,                0.59474,                0.64542,                0.65572,                0.39087,                 1.5326,                 1.2923,                  1.782,               0.000604,               0.000604,               0.000604
                     23,                 1.3742,                 1.3663,                 1.6939,                0.65935,                0.60209,                 0.6562,                0.38467,                 1.5615,                 1.3055,                 1.8103,              0.0005842,              0.0005842,              0.0005842
                     24,                 1.3604,                 1.3725,                 1.7082,                0.63025,                0.67016,                0.67658,                0.38404,                 1.5829,                 1.3005,                 1.8179,              0.0005644,              0.0005644,              0.0005644
                     25,                 1.3896,                 1.3761,                 1.7289,                0.67077,                0.65068,                0.69046,                0.38759,                 1.5452,                 1.3027,                 1.7891,              0.0005446,              0.0005446,              0.0005446
                     26,                 1.3592,                 1.3657,                 1.7004,                0.68427,                0.57871,                0.69392,                0.41449,                 1.4974,                 1.2264,                 1.7477,              0.0005248,              0.0005248,              0.0005248
                     27,                 1.3495,                  1.315,                 1.7019,                0.54244,                0.73298,                0.65106,                0.38984,                 1.4928,                 1.2563,                 1.7452,               0.000505,               0.000505,               0.000505
                     28,                 1.3791,                 1.3683,                 1.7131,                0.63143,                0.63874,                0.66311,                0.38665,                 1.5172,                 1.2475,                 1.7416,              0.0004852,              0.0004852,              0.0004852
                     29,                  1.339,                 1.3011,                 1.6787,                0.61726,                0.62484,                0.66091,                0.38497,                 1.5287,                  1.299,                 1.7476,              0.0004654,              0.0004654,              0.0004654
                     30,                 1.3409,                 1.2951,                 1.6916,                 0.6402,                0.61486,                0.65005,                0.34583,                 1.6952,                 1.2587,                 1.8897,              0.0004456,              0.0004456,              0.0004456
                     31,                 1.3267,                 1.2785,                 1.6778,                0.65918,                0.65969,                0.67609,                 0.3929,                 1.5322,                 1.1976,                 1.7609,              0.0004258,              0.0004258,              0.0004258
                     32,                 1.3252,                 1.2576,                 1.6497,                0.65248,                 0.6881,                0.68331,                0.42092,                 1.4131,                 1.1717,                 1.7027,               0.000406,               0.000406,               0.000406
                     33,                 1.3117,                 1.2485,                 1.6435,                0.62469,                0.69634,                 0.7123,                0.41393,                 1.5144,                 1.2034,                 1.7543,              0.0003862,              0.0003862,              0.0003862
                     34,                 1.3079,                 1.2519,                 1.6563,                 0.6403,                0.69634,                0.70466,                0.41927,                 1.5044,                 1.1517,                 1.7467,              0.0003664,              0.0003664,              0.0003664
                     35,                 1.2761,                 1.1959,                 1.6305,                0.67911,                0.67016,                0.70525,                 0.4362,                 1.4178,                 1.1536,                 1.6855,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.2963,                 1.1977,                  1.641,                0.64614,                0.70746,                0.70453,                0.42728,                 1.4373,                 1.1294,                 1.7006,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.2696,                 1.1999,                 1.6339,                0.72588,                0.61257,                0.69364,                0.41792,                 1.4568,                 1.1702,                  1.728,               0.000307,               0.000307,               0.000307
                     38,                 1.2698,                 1.1769,                 1.6225,                0.67479,                0.66492,                0.69502,                0.42034,                 1.4174,                 1.1433,                 1.6953,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.2712,                 1.1913,                 1.6127,                0.60625,                0.74165,                0.68933,                0.42235,                 1.4023,                 1.1617,                 1.6873,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.2856,                 1.1957,                 1.6334,                0.64061,                0.62527,                0.66737,                0.39954,                 1.4941,                  1.202,                 1.7383,              0.0002476,              0.0002476,              0.0002476
                     41,                 1.0465,                0.91709,                 1.4731,                0.61838,                0.74869,                0.68679,                0.41528,                 1.4703,                  1.141,                 1.7398,              0.0002278,              0.0002278,              0.0002278
                     42,                 1.0395,                0.83532,                   1.47,                0.59145,                0.72775,                0.66584,                0.39576,                 1.4779,                 1.1977,                 1.7398,               0.000208,               0.000208,               0.000208
                     43,                0.98912,                0.80777,                 1.4571,                0.62161,                0.69634,                0.68632,                0.41186,                 1.4702,                 1.2061,                 1.7011,              0.0001882,              0.0001882,              0.0001882
                     44,                0.98485,                0.78371,                 1.4382,                0.60437,                0.67016,                0.63776,                0.39348,                 1.3642,                 1.2137,                 1.6388,              0.0001684,              0.0001684,              0.0001684
                     45,                0.98513,                0.74935,                 1.4366,                  0.671,                0.66492,                0.70332,                0.42362,                 1.5258,                 1.1509,                 1.7682,              0.0001486,              0.0001486,              0.0001486
                     46,                0.96033,                0.72079,                 1.4162,                0.64481,                0.64398,                0.68159,                0.40585,                 1.4631,                 1.1911,                 1.7285,              0.0001288,              0.0001288,              0.0001288
                     47,                0.97461,                0.70633,                 1.4182,                0.67091,                0.62827,                0.66949,                0.40846,                 1.4188,                 1.2231,                 1.7111,               0.000109,               0.000109,               0.000109
                     48,                0.94219,                0.69474,                 1.4114,                0.64301,                0.67898,                0.66591,                 0.4038,                 1.4416,                 1.2217,                 1.7271,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.92497,                0.68292,                 1.3876,                0.67037,                0.62827,                0.65889,                0.40062,                 1.4231,                 1.2024,                 1.7137,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.94902,                0.69096,                 1.4064,                0.65854,                0.64921,                0.65966,                0.40002,                  1.429,                 1.2238,                 1.7101,               4.96e-05,               4.96e-05,               4.96e-05
